S#,SNAME,SEX,BDATE,HEIGHT,DORM
01032171,陈裕晴,女,2005-12-05,1.84,东4舍433
01032172,丁德军,男,2005-03-02,1.62,东18舍721
01032173,高娅,女,2004-01-17,1.78,东16舍832
01032174,张思罡,男,2003-10-31,1.61,东5舍713
01032175,黄奕慧,女,2004-05-27,1.88,东18舍819
01032176,郭佳为,女,2005-12-01,1.86,东5舍201
01032177,安云翔,男,2005-12-29,1.78,东12舍403
01032178,陈俊如,女,2003-03-01,1.89,东15舍307
01032179,申夏迪,男,2002-10-29,1.9,东16舍416
01032180,顾贇,男,2003-03-17,1.64,东8舍302
01032181,季金萍,女,2003-03-13,1.67,东18舍417
01032182,张顺顺,女,2002-10-09,1.83,东19舍928
01032183,邹宇涵,男,2002-08-21,1.81,东1舍816
01032184,袁文蕴,女,2004-04-07,1.76,东16舍810
01032185,曾雪薇,女,2004-02-28,1.65,东20舍131
01032186,李卓婉,女,2004-04-04,1.7,东18舍308
01032187,周琳森,男,2005-09-02,1.88,东2舍821
01032188,张欣阳,男,2004-05-30,1.61,东13舍406
01032189,冯世平,男,2004-09-03,1.87,东10舍732
01032190,洪怀彬,男,2005-03-22,1.78,东15舍314
01032191,张璐,女,2005-08-08,1.87,东17舍714
01032192,倪添桢,男,2002-02-05,1.76,东12舍406
01032193,喻哲扬,男,2002-08-22,1.68,东14舍603
01032194,段兰君,女,2002-08-14,1.8,东21舍926
01032195,张晓敏,女,2004-11-03,1.79,东4舍105
01032196,尤润琪,男,2005-07-09,1.59,东13舍621
01032197,张黎雪,女,2002-03-10,1.69,东2舍809
01032198,梁迪斯,女,2004-12-24,1.86,东19舍717
01032199,闫刘远,男,2002-11-20,1.7,东5舍823
01032200,叶田恬,女,2002-01-25,1.66,东10舍325
01032201,马浩,男,2005-01-27,1.68,东3舍117
01032202,罗晓曦,女,2004-08-16,1.89,东12舍720
01032203,卢俊宇,男,2003-08-12,1.86,东15舍724
01032204,熊帅,男,2004-01-06,1.79,东17舍910
01032205,李依美,女,2003-12-03,1.61,东13舍317
01032206,曹子颖,男,2005-08-17,1.8,东6舍512
01032207,牛铭,男,2002-11-06,1.72,东19舍828
01032208,刘星铄,女,2003-10-02,1.65,东17舍904
01032209,杨絮,女,2004-03-09,1.79,东13舍312
01032210,潘风畅,女,2004-04-07,1.79,东17舍519
01032211,张含,女,2005-09-28,1.78,东2舍727
01032212,张远哲,女,2004-03-06,1.69,东8舍630
01032213,刘雅欣,女,2002-01-31,1.7,东16舍832
01032214,孙君劼,男,2004-09-20,1.69,东11舍216
01032215,郭哲妮,女,2003-12-26,1.87,东14舍121
01032216,邱冬冬,女,2004-05-26,1.6,东10舍901
01032217,贾玮,男,2004-08-18,1.82,东14舍401
01032218,肖宇,男,2002-06-21,1.85,东11舍606
01032219,郭建雯,女,2003-03-10,1.72,东17舍922
01032220,王娇娇,女,2005-12-12,1.6,东13舍632
01032221,张清楠,男,2004-02-08,1.83,东9舍127
01032222,江云帆,男,2004-07-26,1.75,东3舍718
01032223,刘培荣,男,2002-05-03,1.66,东15舍620
01032224,蒋鑫,男,2005-08-02,1.82,东3舍325
01032225,任塑飞,女,2005-07-31,1.87,东18舍906
01032226,马泽,男,2003-03-26,1.79,东12舍927
01032227,原铭,女,2002-03-25,1.87,东9舍514
01032228,戴少凡,男,2004-08-24,1.67,东20舍616
01032229,马海,男,2003-04-02,1.83,东11舍814
01032230,赵浩宇,男,2005-11-30,1.71,东18舍103
01032231,秦诗雲,女,2003-09-03,1.84,东21舍722
01032232,纪路,男,2005-09-19,1.63,东20舍424
01032233,黄玮,女,2003-03-01,1.69,东2舍105
01032234,李钿,女,2005-12-30,1.58,东17舍514
01032235,郭敬,女,2003-10-08,1.9,东5舍627
01032236,刘雨薇,女,2004-09-07,1.79,东17舍803
01032237,游雨诗,女,2004-04-12,1.81,东4舍332
01032238,曲婷,女,2002-05-24,1.89,东6舍503
01032239,胡佳典,男,2002-04-02,1.73,东10舍112
01032240,董镇,男,2002-02-07,1.76,东3舍210
01032241,曹雪云,女,2003-04-16,1.7,东11舍518
01032242,雷明,男,2004-11-03,1.73,东21舍405
01032243,王雅鑫,女,2004-02-08,1.69,东6舍629
01032244,谢炜,男,2005-03-09,1.59,东5舍311
01032245,岑培凯,女,2004-03-09,1.89,东5舍416
01032246,韩若冰,女,2005-06-25,1.6,东10舍809
01032247,王泰蒙,男,2003-06-01,1.67,东7舍933
01032248,杨雪阳,女,2002-11-14,1.69,东18舍132
01032249,张腾,男,2003-10-23,1.8,东12舍815
01032250,赵宇航,女,2002-03-30,1.85,东17舍318
01032251,孙小涵,女,2002-09-21,1.68,东11舍707
01032252,付鑫岩,男,2002-04-29,1.75,东16舍318
01032253,刘一臻,男,2004-04-30,1.75,东21舍716
01032254,张琪琪,女,2002-10-31,1.82,东15舍110
01032255,欧承祖,男,2003-07-25,1.8,东17舍527
01032256,马苓珉,女,2003-12-16,1.8,东1舍530
01032257,史舟淼,女,2005-09-27,1.81,东4舍616
01032258,张智尧,男,2005-07-06,1.6,东4舍617
01032259,霍少波,男,2003-05-28,1.87,东1舍914
01032260,李志,男,2002-06-23,1.68,东18舍801
01032261,李方梅,女,2005-02-04,1.72,东8舍633
01032262,徐静怡,女,2002-06-22,1.78,东7舍512
01032263,李熊霜,女,2005-04-04,1.82,东17舍233
01032264,肖力川,男,2005-07-04,1.82,东2舍214
01032265,王禾,男,2005-10-02,1.85,东2舍424
01032266,刘紫琦,女,2003-03-25,1.77,东17舍725
01032267,米慧,女,2002-04-22,1.71,东15舍718
01032268,王治乔,男,2004-11-16,1.68,东2舍203
01032269,李佳音,女,2004-06-04,1.6,东15舍605
01032270,邬昊天,男,2003-07-25,1.88,东3舍509
01032271,周杉,男,2005-11-07,1.83,东8舍717
01032272,石智方,男,2004-06-29,1.89,东6舍312
01032273,崔子豪,男,2003-09-13,1.87,东18舍407
01032274,黄兴华,男,2002-07-12,1.83,东21舍220
01032275,冯海军,男,2003-09-22,1.76,东5舍313
01032276,王夏云,女,2003-09-16,1.68,东9舍119
01032277,徐紫君,女,2005-11-19,1.62,东17舍806
01032278,罗清扬,女,2002-08-19,1.59,东17舍108
01032279,王铖,男,2005-07-07,1.75,东4舍115
01032280,陈喜燕,女,2003-04-29,1.8,东20舍203
01032281,马子轩,男,2005-03-04,1.59,东13舍809
01032282,郭宏印,男,2002-12-29,1.59,东18舍324
01032283,尹义平,女,2002-07-05,1.82,东17舍404
01032284,鲁佳豪,男,2003-02-12,1.76,东11舍510
01032285,赵佑霖,女,2005-11-08,1.61,东7舍904
01032286,侯迎晖,女,2002-09-10,1.66,东16舍602
01032287,韩雨琪,女,2005-05-09,1.64,东4舍430
01032288,汪雪珂,女,2003-03-27,1.86,东9舍324
01032289,邹海洋,女,2004-08-08,1.9,东7舍308
01032290,涂金岩,女,2005-01-29,1.69,东10舍130
01032291,颜思行,男,2003-12-02,1.86,东16舍232
01032292,周琳森,男,2003-01-28,1.72,东12舍904
01032293,徐强,男,2004-02-18,1.73,东7舍211
01032294,彭兆飞,男,2005-04-04,1.89,东21舍220
01032295,蔡旭科,男,2004-03-17,1.67,东1舍517
01032296,利倩莹,女,2004-06-06,1.81,东3舍206
01032297,姜添元,男,2002-02-09,1.78,东12舍904
01032298,王宇,女,2005-04-15,1.77,东2舍709
01032299,杨雅清,女,2002-05-18,1.63,东1舍617
01032300,吴庚键,男,2003-01-14,1.9,东7舍328
01032301,丁嘉娜,女,2005-09-12,1.79,东9舍726
01032302,李东航,男,2004-07-05,1.81,东21舍911
01032303,李昳敏,女,2003-02-15,1.75,东6舍233
01032304,许绮林,女,2004-04-15,1.85,东12舍704
01032305,田康,男,2003-11-25,1.82,东6舍607
01032306,李兴明,男,2003-07-30,1.87,东14舍328
01032307,汪士愉,男,2004-10-08,1.89,东4舍308
01032308,夏思远,男,2005-12-24,1.73,东8舍723
01032309,于也飞,女,2003-04-28,1.79,东4舍522
01032310,罗辰,男,2004-10-04,1.87,东7舍216
01032311,周围,男,2005-10-25,1.89,东11舍125
01032312,魏晓晨,男,2004-06-20,1.85,东8舍408
01032313,刘晓文,女,2004-02-15,1.59,东12舍126
01032314,欧承祖,男,2003-03-02,1.87,东12舍601
01032315,夏恬,女,2004-12-06,1.58,东17舍623
01032316,杨宇初,男,2002-08-28,1.68,东5舍628
01032317,皇甫红琴,女,2002-09-03,1.79,东6舍226
01032318,蒋凯奕,男,2002-05-13,1.72,东1舍502
01032319,孙婧雯,女,2005-12-25,1.6,东17舍201
01032320,贾佳欣,女,2005-04-03,1.77,东10舍502
01032321,王烨宇,女,2004-06-09,1.77,东13舍922
01032322,唐靖轩,男,2003-08-21,1.89,东14舍326
01032323,邓承斯,女,2004-02-02,1.79,东12舍133
01032324,南培森,男,2002-12-03,1.63,东12舍910
01032325,赵琪,女,2005-08-10,1.71,东4舍501
01032326,许婧怡,女,2002-08-08,1.64,东18舍108
01032327,郭姝男,女,2004-11-05,1.61,东17舍502
01032328,张文卿,女,2002-10-15,1.59,东10舍312
01032329,王平,男,2004-01-03,1.84,东21舍925
01032330,胡正,男,2002-04-29,1.83,东13舍533
01032331,杨宗豪,男,2003-11-09,1.85,东2舍422
01032332,贾佳欣,女,2003-01-09,1.71,东17舍624
01032333,廖宇轩,男,2003-05-09,1.76,东1舍123
01032334,邱冬冬,女,2004-06-03,1.63,东3舍422
01032335,龚书钰,女,2003-08-12,1.77,东3舍708
01032336,李博轩,男,2004-07-12,1.76,东10舍510
01032337,孙晓晨,男,2004-09-21,1.76,东13舍907
01032338,黄怡,女,2002-11-04,1.89,东7舍514
01032339,程寅,男,2005-07-04,1.88,东17舍224
01032340,陈嘉欣,女,2004-07-13,1.59,东4舍409
01032341,赵华阳,男,2005-04-05,1.67,东3舍510
01032342,张赛,女,2004-02-26,1.67,东17舍208
01032343,颉肖萌,女,2005-02-03,1.66,东14舍423
01032344,郭东宁,男,2005-06-03,1.62,东5舍733
01032345,陈博涵,男,2004-07-07,1.58,东17舍123
01032346,朱思澄,男,2005-09-16,1.67,东8舍817
01032347,喻澍,男,2003-07-27,1.73,东11舍809
01032348,吴科杰,男,2005-06-03,1.81,东10舍413
01032349,唐维,男,2002-04-07,1.89,东15舍421
01032350,姚雨含,女,2004-04-15,1.69,东12舍733
01032351,刘小榆,女,2003-06-15,1.78,东21舍927
01032352,张韧毫,男,2003-04-08,1.64,东7舍224
01032353,王嘉驰,男,2005-12-03,1.75,东19舍220
01032354,李怀哲,男,2003-08-16,1.87,东12舍415
01032355,亢瑜,男,2002-02-25,1.88,东7舍421
01032356,钟南海,男,2004-12-26,1.83,东5舍823
01032357,刘沿江,男,2004-12-16,1.8,东14舍520
01032358,秦雅静,女,2003-03-20,1.62,东13舍307
01032359,郭燕婷,女,2002-12-30,1.74,东20舍302
01032360,崔永哲,男,2004-04-09,1.62,东6舍520
01032361,陈瀚乔,女,2003-02-05,1.88,东10舍202
01032362,刘凡,男,2002-01-01,1.73,东4舍325
01032363,周子平,男,2002-01-22,1.65,东13舍430
01032364,李梅,女,2005-02-05,1.78,东9舍703
01032365,刘奕伶,女,2004-01-31,1.71,东4舍314
01032366,单颖驰,男,2003-09-10,1.81,东3舍725
01032367,李济远,男,2003-06-25,1.61,东19舍902
01032368,陈天翔,男,2004-02-07,1.59,东4舍309
01032369,卜静,女,2003-12-05,1.75,东3舍626
01032370,何家旭,男,2003-03-23,1.65,东12舍201
01032371,关淑,女,2003-10-29,1.81,东13舍228
01032372,李丹阳,女,2002-09-20,1.87,东14舍217
01032373,谢金宇,男,2004-10-09,1.76,东20舍523
01032374,张宥恩,女,2002-09-25,1.63,东21舍832
01032375,吴思语,女,2004-05-01,1.8,东12舍405
01032376,范鑫,男,2005-06-17,1.9,东6舍502
01032377,莫云帆,男,2002-11-17,1.59,东18舍815
01032378,于俊杰,男,2004-12-05,1.61,东8舍221
01032379,张文宇,男,2002-05-24,1.88,东15舍227
01032380,张员豪,男,2002-10-29,1.75,东6舍730
01032381,关淑,女,2004-03-15,1.75,东20舍322
01032382,张雨珊,女,2004-08-15,1.74,东21舍603
01032383,潘心怡,女,2004-10-21,1.82,东11舍611
01032384,伍密,女,2002-01-03,1.89,东12舍803
01032385,彭启航,男,2002-03-31,1.84,东18舍425
01032386,宋佳璐,女,2005-09-12,1.76,东6舍804
01032387,周雅童,女,2002-02-07,1.63,东14舍128
01032388,陈思宇,女,2002-02-28,1.82,东16舍305
01032389,杜建华,女,2005-08-15,1.86,东3舍413
01032390,孙天宇,男,2005-02-17,1.62,东3舍724
01032391,高晓青,女,2005-04-29,1.68,东7舍319
01032392,苏小湄,女,2002-04-24,1.77,东3舍503
01032393,郝东英,女,2004-11-10,1.6,东8舍811
01032394,王晋卿,男,2004-04-15,1.76,东11舍617
01032395,张馨元,女,2002-11-06,1.69,东1舍311
01032396,王悦杨,女,2004-09-06,1.75,东10舍431
01032397,屠锐,男,2005-04-02,1.87,东14舍325
01032398,张巍,男,2003-07-20,1.89,东13舍616
01032399,梁玉玺,男,2003-04-30,1.84,东3舍911
01032400,史翔,男,2003-09-13,1.87,东14舍924
01032401,汪文睿,男,2004-05-03,1.73,东2舍733
01032402,牛泽茜,女,2004-09-15,1.74,东3舍114
01032403,程道琰,女,2005-07-21,1.74,东18舍731
01032404,马代华,女,2005-04-11,1.79,东1舍826
01032405,顾秋仪,女,2004-06-25,1.89,东13舍721
01032406,饶鹏昊,男,2004-01-27,1.82,东13舍110
01032407,李悦明,女,2005-08-07,1.71,东1舍521
01032408,杨欢,男,2003-11-11,1.87,东19舍611
01032409,周义钧,男,2002-11-18,1.88,东14舍930
01032410,高华峰,男,2004-07-27,1.86,东15舍606
01032411,张雨欣,女,2004-03-11,1.64,东9舍629
01032412,王舒涵,女,2004-04-23,1.58,东8舍831
01032413,林涵倩,女,2003-01-03,1.78,东7舍230
01032414,任娱慧,女,2005-06-05,1.85,东1舍808
01032415,孔繁一,男,2002-08-05,1.74,东19舍913
01032416,马金兰,女,2002-01-04,1.88,东12舍611
01032417,涂文超,男,2004-06-27,1.88,东12舍127
01032418,郑玮奕,女,2002-04-04,1.71,东21舍825
01032419,郭悍成,男,2002-08-24,1.89,东4舍728
01032420,刘之诚,男,2003-04-28,1.86,东21舍412
01032421,何慧坤,女,2003-04-07,1.65,东15舍906
01032422,周凯,男,2002-11-13,1.62,东14舍702
01032423,赵成然,男,2002-08-01,1.79,东1舍112
01032424,杨奥森,男,2002-08-29,1.86,东3舍629
01032425,毛雨,女,2005-03-24,1.75,东19舍321
01032426,冯歌,男,2004-11-27,1.66,东18舍114
01032427,周航,男,2003-03-04,1.73,东15舍104
01032428,许皓瑞,男,2005-01-01,1.76,东2舍910
01032429,杜文文,女,2005-11-30,1.62,东10舍624
01032430,曹恭泽,男,2003-04-04,1.62,东5舍915
01032431,鲁婷婷,女,2003-02-01,1.61,东4舍425
01032432,李牧,男,2002-03-29,1.78,东12舍133
01032433,何梦颖,女,2003-01-29,1.84,东16舍105
01032434,黄慧敏,女,2005-04-22,1.88,东17舍731
01032435,林梦颖,女,2005-10-22,1.87,东19舍401
01032436,张祥宇,女,2004-05-18,1.59,东13舍832
01032437,项苏楠,女,2004-10-25,1.89,东20舍214
01032438,邹雨宏,女,2004-09-03,1.79,东11舍906
01032439,刘翔宇,女,2003-02-20,1.84,东9舍823
01032440,郑佳佳,女,2003-11-17,1.86,东14舍419
01032441,程鸿武,男,2003-12-11,1.8,东10舍403
01032442,李玲,女,2002-04-24,1.71,东2舍104
01032443,吴宗蔓,女,2002-07-19,1.78,东5舍404
01032444,李红燕,女,2005-11-02,1.83,东8舍926
01032445,冯龙,男,2003-09-10,1.68,东20舍412
01032446,贾逸飞,男,2005-09-13,1.83,东2舍827
01032447,孙佳帅,男,2003-11-11,1.75,东13舍402
01032448,李波,男,2005-07-15,1.79,东13舍219
01032449,刘子豪,男,2003-01-08,1.77,东9舍717
01032450,兰杨,女,2003-10-26,1.74,东9舍816
01032451,徐嘉宇,男,2003-01-16,1.88,东21舍606
01032452,陈桂敏,女,2002-05-10,1.65,东6舍806
01032453,翟川,男,2004-06-04,1.78,东6舍406
01032454,岳潇翰,男,2003-04-17,1.59,东18舍913
01032455,肖宇,男,2004-11-01,1.59,东3舍919
01032456,王悦杨,女,2004-09-05,1.71,东8舍930
01032457,王鲁宁,女,2002-03-08,1.61,东11舍222
01032458,孙铮,男,2002-10-06,1.75,东10舍225
01032459,马媛,女,2003-03-02,1.89,东7舍627
01032460,朱际宇,女,2004-08-17,1.64,东12舍115
01032461,潘佳昊,男,2003-09-01,1.79,东17舍103
01032462,王宇昕,女,2005-10-13,1.74,东5舍323
01032463,吴斯捷,男,2005-03-29,1.67,东17舍409
01032464,朱雨瑶,女,2003-06-19,1.73,东19舍226
01032465,田园,女,2002-02-20,1.83,东11舍923
01032466,龙涛,男,2004-07-15,1.58,东20舍627
01032467,赵旭茹,女,2002-09-27,1.71,东2舍810
01032468,王章杰,男,2004-09-19,1.9,东21舍203
01032469,尚怡,女,2002-02-20,1.72,东1舍405
01032470,伍子微,女,2005-04-04,1.61,东3舍304
01032471,张培钰,女,2004-12-07,1.69,东2舍818
01032472,丁海霞,女,2003-08-23,1.58,东4舍629
01032473,樊世奇,女,2005-10-28,1.71,东12舍625
01032474,郭民安,男,2004-10-09,1.7,东8舍803
01032475,朱娜,女,2003-11-24,1.73,东2舍514
01032476,孟娟,女,2005-12-11,1.73,东4舍324
01032477,杨娜,女,2003-02-16,1.8,东19舍811
01032478,薛啸天,男,2003-12-31,1.87,东16舍903
01032479,周俊颖,女,2002-04-10,1.62,东18舍519
01032480,王侯,男,2005-06-05,1.7,东2舍907
01032481,吕瑞聪,男,2004-09-11,1.74,东14舍306
01032482,沈政宇,男,2003-10-23,1.8,东19舍333
01032483,朱义川,男,2003-05-04,1.76,东7舍719
01032484,黄紫燕,女,2005-10-10,1.7,东2舍632
01032485,陈静宜,女,2003-05-20,1.65,东8舍508
01032486,黄亮,男,2004-01-17,1.71,东21舍306
01032487,吉雅晴,女,2002-01-31,1.77,东16舍222
01032488,唐宇宁,女,2004-08-28,1.6,东6舍323
01032489,田一鹭,女,2004-02-18,1.67,东3舍808
01032490,陈佳浩,女,2003-05-03,1.86,东6舍913
01032491,高威雨,男,2002-10-15,1.74,东11舍712
01032492,刘思彤,女,2002-03-10,1.7,东3舍612
01032493,王峰松,男,2003-07-12,1.83,东9舍601
01032494,李巍,男,2005-06-21,1.76,东21舍320
01032495,兰明明,女,2003-10-05,1.85,东18舍822
